الموديل,الماركة,القسم,السعر,السرعة,طول الغرزة,نظام الإبرة,الموتور,قص خيط,رفع دواس,فرماتورة,التزييت,الضمان,متوفر,الكمية,الخامات,الوصف,المميزات
JACK A4B-A,JACK,single_needle,47500,5000,5.0,DBx1 11-18#,سيرفو دفع مباشر مدمج,نعم,نعم,نعم,تزييت أوتوماتيك مغلق,24,نعم,12,أقمشة خفيفة ومتوسطة ومصانع القمصان,ماكينة سنجر كمبيوتر الجيل الذكي,شاشة ناطقة باللغة العربية;مستشعر ذكي لقدم الدواس;إضاءة ليد ثلاثية المستويات
JACK A5E-A,JACK,single_needle,54000,5000,5.0,DBx1 11-18#,محرك سيرفو ذكي AMH Chip,نعم,نعم,نعم,تزييت محكم بتكنولوجيا الرأس الجاف,24,نعم,8,شيفون وحرير وحتى 8 طبقات جينز سميك,ماكينة سنجر ذكاء اصطناعي AMH,شريحة ذكاء اصطناعي;حيز خياطة واسع 305 ملم;منفذ USB
JACK F4,JACK,single_needle,19500,5000,5.0,DBx1 11-18#,سيرفو موفر للطاقة 71%,لا,لا,نعم,تزييت أوتوماتيك,12,نعم,20,خياطة عامة ومشاغل صغيرة,الماكينة الاقتصادية الأولى للمشاغل,توفير كهرباء 71%;تحديد موضع الإبرة;شاشة ديجيتال
JACK C4,JACK,overlock,51000,7000,3.8,DCx27 11-14#,سيرفو فائق السرعة,نعم,نعم,لا,تزييت أوتوماتيك,24,نعم,7,الملابس القطنية والتيشيرت والتريكو,أوفرلوك كمبيوتر 4 فتلة فائقة السرعة,3 حساسات ذكية;سرعة 7000 غرزة/دقيقة;شفط هوائي مدمج
JACK C5,JACK,overlock,56000,6500,4.0,DCx27 14-18#,سيرفو دفع مباشر عالي العزم,نعم,نعم,لا,تزييت أوتوماتيك,24,نعم,5,بنطلونات جينز وجواكت ثقيلة,أوفرلوك 5 فتلة للأقمشة الثقيلة,غرزة أمان مزدوجة;محرك قوي للمصانع;تبريد زيت فعال
JACK W4-D,JACK,interlock,67000,5500,4.4,UY128GAS 11-14#,سيرفو مدمج إلكتروني,نعم,نعم,لا,تزييت قسري محكم,24,نعم,6,ثني ذيل التيشيرت والكول والتريكو,أورليه فلاتلوك كمبيوتر 3 إبرة 5 فتلة,قص خيط علوي وسفلي;رفع دواس أوتوماتيك;إضاءة ليد
HIKARI HK2900ASS,HIKARI,single_needle,43000,5000,5.0,DBx1 11-18#,سيرفو ياباني فائق الهدوء,نعم,نعم,نعم,دورة زيت مغلقة تماماً,24,نعم,9,قمصان فاخرة وبدل رجالي وشيفون,سنجر كمبيوتر هندسة يابانية وشاشة لمس,شاشة لمس ملونة;انعدام تسريب الزيت;هيكل متزن مانع للاهتزاز
HIKARI H8800-4,HIKARI,overlock,49500,7200,4.0,DCx27 11-14#,سيرفو ياباني مباشر,نعم,نعم,لا,تزييت وتبريد مستمر,24,نعم,6,مصانع التصدير والملابس الرياضية,أوفرلوك صناعي 4 فتلة فائق السرعة,سرعة 7200 غرزة/دقيقة;دواس خاص لليكرا;قص خيط أوتوماتيك
SIRUBA 747K-514M2-24,SIRUBA,overlock,48500,7500,3.6,DCx27 9-14#,سيرفو تايواني موفر,لا,لا,لا,تزييت هيدروليكي كامل,36,نعم,14,ملابس قطنية وكاجوال وتريكو,أوفرلوك 4 فتلة تايواني أصلي فائق الاعتمادية,صناعة تايوانية 100%;سرعة 7500 غرزة;قطع غيار متوفرة واقتصادية
SIRUBA F007K-W122-356,SIRUBA,interlock,69000,6000,4.2,UY128GAS 11-14#,سيرفو تايواني دفع مباشر,نعم,نعم,لا,تزييت مايكرو محكم,36,نعم,4,أكمام التيشيرت وملابس قطنية,أورليه تايوانية برأس أسطواني,رأس أسطواني حر;سحب خيوط انسيابي;رفع دواس كهربائي
